query_id,template_id,params
query8.sql,13,"{""&&&_A"": ""'BRAZIL'"", ""###_A"": ""0"", ""###_B"": ""1"", ""&&&_B"": ""'AMERICA'"", ""&&&_C"": ""'1995-01-01'"", ""&&&_D"": ""'1996-12-31'"", ""&&&_E"": ""'ECONOMY ANODIZED STEEL'""}"
query1.sql,14,"{""###_A"": ""1"", ""###_B"": ""1"", ""###_C"": ""1"", ""&&&_A"": ""'1998-12-01'"", ""&&&_B"": ""'90'""}"
query12.sql,15,"{""&&&_A"": ""'1-URGENT'"", ""&&&_B"": ""'2-HIGH'"", ""###_A"": ""1"", ""###_B"": ""0"", ""&&&_C"": ""'1-URGENT'"", ""&&&_D"": ""'2-HIGH'"", ""###_C"": ""1"", ""###_D"": ""0"", ""N_SSS_A"": ""('MAIL',\n                     'SHIP')"", ""&&&_E"": ""'1994-01-01'"", ""&&&_F"": ""'1994-01-01'"", ""&&&_G"": ""'1'""}"
query7.sql,16,"{""###_A"": ""1"", ""&&&_A"": ""'FRANCE'"", ""&&&_B"": ""'GERMANY'"", ""&&&_C"": ""'GERMANY'"", ""&&&_D"": ""'FRANCE'"", ""&&&_E"": ""'1995-01-01'"", ""&&&_F"": ""'1996-12-31'""}"
query22.sql,17,"{""###_A"": ""1"", ""###_B"": ""2"", ""###_C"": ""1"", ""###_D"": ""2"", ""N_SSS_A"": ""('13',\n                              '31',\n                              '23',\n                              '29',\n                              '30',\n                              '18',\n                              '17')"", ""^^^_A"": ""0.00"", ""###_E"": ""1"", ""###_F"": ""2"", ""N_SSS_B"": ""('13',\n                                   '31',\n                                   '23',\n                                   '29',\n                                   '30',\n                                   '18',\n                                   '17')""}"
query15.sql,18,"{""###_A"": ""1"", ""&&&_A"": ""'1996-01-01'"", ""&&&_B"": ""'1996-01-01'"", ""&&&_C"": ""'3'""}"
query2.sql,19,"{""###_A"": ""15"", ""&&&_A"": ""'%BRASS'"", ""&&&_B"": ""'EUROPE'"", ""&&&_C"": ""'EUROPE'"", ""###_B"": ""100""}"
query21.sql,20,"{""&&&_A"": ""'F'"", ""&&&_B"": ""'SAUDI ARABIA'"", ""###_A"": ""100""}"
query19.sql,21,"{""###_A"": ""1"", ""&&&_A"": ""'Brand#12'"", ""N_SSS_A"": ""('SM CASE',\n                           'SM BOX',\n                           'SM PACK',\n                           'SM PKG')"", ""###_B"": ""1"", ""###_C"": ""1"", ""###_D"": ""10"", ""###_E"": ""1"", ""###_F"": ""5"", ""N_SSS_B"": ""('AIR',\n                          'AIR REG')"", ""&&&_B"": ""'DELIVER IN PERSON'"", ""&&&_C"": ""'Brand#23'"", ""N_SSS_C"": ""('MED BAG',\n                          'MED BOX',\n                          'MED PKG',\n                          'MED PACK')"", ""###_G"": ""10"", ""###_H"": ""10"", ""###_I"": ""10"", ""###_J"": ""1"", ""###_K"": ""10"", ""N_SSS_D"": ""('AIR',\n                         'AIR REG')"", ""&&&_D"": ""'DELIVER IN PERSON'"", ""&&&_E"": ""'Brand#34'"", ""N_SSS_E"": ""('LG CASE',\n                          'LG BOX',\n                          'LG PACK',\n                          'LG PKG')"", ""###_L"": ""20"", ""###_M"": ""20"", ""###_N"": ""10"", ""###_O"": ""1"", ""###_P"": ""15"", ""N_SSS_F"": ""('AIR',\n                         'AIR REG')"", ""&&&_F"": ""'DELIVER IN PERSON'""}"
query6.sql,22,"{""&&&_A"": ""'1994-01-01'"", ""&&&_B"": ""'1994-01-01'"", ""&&&_C"": ""'1'"", ""^^^_A"": ""0.06"", ""^^^_B"": ""0.01"", ""^^^_C"": ""0.06"", ""^^^_D"": ""0.01"", ""###_A"": ""24""}"
